8.00;8.82;4.00;9.68;0.00;9.36;3.75
8.00;10.00;8.46;9.84;8.81;8.64;8.00
8.00;10.00;10.00;9.84;8.81;7.27;7.51
4.00;6.94;8.46;8.38;5.19;10.00;6.00
8.00;9.18;10.00;9.00;10.00;10.00;8.00
7.50;8.29;9.07;9.47;9.19;10.00;8.00
7.00;9.41;10.00;10.00;10.00;10.00;10.00
7.50;9.41;10.00;9.84;10.00;10.00;10.00
8.00;9.41;5.37;9.68;9.19;8.00;9.75
8.00;8.00;9.00;8.54;6.38;8.64;6.00
8.00;10.00;10.00;10.00;8.81;8.00;8.00
6.00;8.00;8.77;7.84;7.19;8.64;6.00
10.00;10.00;10.00;10.00;10.00;10.00;10.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00
5.00;5.00;5.00;5.00;5.00;5.00;5.00
